Municipality,Facility Name,Latitude,Longitude,Address,Phone Number,Categoria
Guaynabo,"RENTROP CARIBBEAN, INC. - GUAYNABO",18.35829,-66.10851,"Ave. Esmeralda #293, Guaynabo, PR 00969",(787) 273-0091,dialisis
San Juan,FRESENIUS MEDICAL CARE BORINQUEN (HATO REY),18.40698,-66.06451,"Ave. Borinquen #1901, San Juan, PR 00921",(787) 765-8822,dialisis
San Juan,FRESENIUS MEDICAL CARE CAPARRA,18.41407,-66.09455,"Ave. Lomas Verdes B6, San Juan, PR 00921",(787) 782-2022,dialisis
San Juan,FRESENIUS MEDICAL CARE MONTEHIEDRA,18.34969,-66.05953,"Carr. 199, Km 3.5, San Juan, PR 00926",(787) 292-7979,dialisis
San Juan,"RENTROP CARIBBEAN, INC. - SAN JUAN (HATO REY)",18.41163,-66.08483,"Calle Arterial #120, Hato Rey, San Juan, PR 00918",(787) 765-7288,dialisis
San Juan,"RENTROP CARIBBEAN, INC. - SAN JUAN (RIO PIEDRAS)",18.40149,-66.03551,"Ave. 65 de Infantería, Esq. Calle 2, Río Piedras, San Juan, PR 00924",(787) 764-7060,dialisis
San Juan,SAN JUAN KIDNEY CENTER,18.43577,-66.0622,"Ave. Muñoz Rivera #1640, San Juan, PR 00926",(787) 728-6888,dialisis
San Juan,FRESENIUS MEDICAL CARE PUERTO NUEVO,18.42398,-66.0886,"Calle #3, Lomas de Caparra, Puerto Nuevo, San Juan, PR 00921",(787) 781-6700,dialisis
Toa Baja,THE RENAL CENTRE OF TOA BAJA,18.43577,-66.19507,"PR-165, Km 5.5, Toa Baja, PR 00949",(787) 292-7979,dialisis
Vega Alta,FRESENIUS MEDICAL CARE VEGA ALTA,18.43577,-66.19507,"Carr. 2, Km 29.8, Vega Alta, PR 00692",(787) 915-0500,dialisis
Bayamón,DOCTORS CENTER HOSPITAL,18.397996,-66.16635,"Calle J-9, Extensión Hermanos Dávila, Bayamón PR 00960",(787) 622-5420,hospital
Bayamón,HOSPITAL HIMA SAN PABLO BAYAMÓN,18.397425,-66.14752,"Calle Santa Cruz #70, Urb. Santa Cruz, Bayamón, PR 00960",(787) 740-4747,hospital
Bayamón,HOSPITAL HERMANOS MELÉNDEZ,18.396872,-66.16305,"PR-2, Km 11.7, Bayamón, PR 00959",(787) 620-8181,hospital
Bayamón,HOSPITAL PSIQUIÁTRICO DE NIÑOS Y ADOLESCENTES,18.36757,-66.15412,"Ave. Laurel #100, Urb. Santa Juanita, Bayamón, PR 00956",(787) 786-7373,hospital
Bayamón,HOSPITAL UNIVERSITARIO DR. RAMÓN RUIZ ARNAU,18.36757,-66.15412,"Ave. Laurel #100, Urb. Santa Juanita, Bayamón, PR 00956",(787) 780-2819 (787) 787-5151,hospital
Bayamón,PUERTO RICO CHILDRENS HOSPITAL INC.,18.396831,-66.16364,"Carr. 2, Km 11.7, Interior Bo. Pájaros, Bayamón, PR 00960",(787) 474-8282,hospital
Bayamón,CENTRO MÉDICO CORRECCIONAL DE BAYAMON,18.417786,-66.14807,"Carr. 5, Ave. Central Juanita Final, Bayamón, PR 00960",(939) 225-2400,hospital
Carolina,DOCTORS CENTER HOSPITAL SAN FERNANDO DE CAROLINA,18.380443,-65.95579,"Edificio Jesús T. Piñeiro, Calle Fernández Juncos, Esq. Molinillo, Carolina, PR 00984",(787) 621-3322,hospital
Carolina,HOSPITAL DE LA UNIVERSIDAD DE PUERTO RICO (UPR) DR. FEDERICO TRILLA,18.388472,-65.9719,"Ave. 65 Infantería, Carr. 3, Km.8.3, Carolina, PR 00984",(787) 757-1800,hospital
Guaynabo,PROFESSIONAL HOSPITAL,18.362338,-66.09756,"Carr. 199, Km 1.0, Ave. Las Cumbres, Guaynabo, PR 00969",(787) 708-6560,hospital
San Juan,ASEM ADMINISTRACIÓN DE SERVICIOS MÉDICOS DE PUERTO RICO,18.395507,-66.07284,"Carr. 21, Bo. Monacillos, Centro Médico, Río Piedras, PR00922",(787) 777-3535,hospital
San Juan,ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL,18.455993,-66.06547,"Ave. Ashford #1451, Condado, PR 00907",(787) 721-2160,hospital
San Juan,CENTRO CARDIOVASCULAR DE PR Y DEL CARIBE DR. RAMÓN M. SUÁREZ CALDERON,18.398646,-66.07263,"Carr. 21, Bo. Monacillos, Ave. Américo Miranda, Centro Médico, Río Piedras, PR 00922",(787) 754-8500,hospital
San Juan,DOCTORS CENTER HOSPITAL SAN JUAN,18.44602,-66.07372,"Calle San Rafael #1395, San Juan, PR 00909",(787) 999-7620,hospital
San Juan,HEALTH SOUTH REHABILITATION HOSPITAL OF SAN JUAN,18.396858,-66.07358,"3er Piso Hospital Universitario, Bo. Monacillos, Centro Médico, Río Piedras, PR 00936",(787) 274-5100,hospital
San Juan,HIMA SAN PABLO CUPEY,18.372592,-66.04623,"Carr. 844, Km. 0.5, Cupey Bajo, Río Piedras, PR 00926",(787) 761-8383,hospital
San Juan,HOSPITAL AUXILIO MUTUO,18.409384,-66.05607,"Ave. Ponce De León #1461, Hato Rey, San Juan, PR 00928",(787) 758-2000,hospital
San Juan,HOSPITAL DE VETERANOS,18.391202,-66.07918,"Bo. Monacillos, Calle Casia #10, San Juan, PR 00921",(787) 641-7582,hospital
San Juan,HOSPITAL DEL MAESTRO,18.40913,-66.07008,"Ave. Domenech #1355, Hato Rey, San Juan, PR 00927",(787) 767-4660,hospital
San Juan,HOSPITAL INTERNACIONAL,18.441113,-66.07166,"Calle San Jorge #33, Santurce, PR 00909",(787) 723-2600,hospital
San Juan,"HOSPITAL METROPOLITANO DR. SUSONI, PAVÍA (HATO REY)",18.40798,-66.0699,"Ave. Ponce De León #1461, Suite 100, Hato Rey, San Juan, PR 00928",(787) 650-7777,hospital
San Juan,HOSPITAL PAVÍA (SANTURCE),18.44498,-66.0722,"Ave. Ponce De León #1461, Santurce, PR 00909",(787) 641-8888,hospital
San Juan,HOSPITAL SAN FRANCISCO,18.375252,-66.08272,"Carr. 838, Km 0.2, Bo. Monacillos, Río Piedras, PR 00926",(787) 767-5100,hospital
San Juan,HOSPITAL SAN JUAN CAPESTRANO,18.384771,-66.02271,"Carr. 877, Km 1.6, Camino Las Lomas, Rio Piedras, PR 00926",(787) 625-2900,hospital
San Juan,HOSPITAL SAN PABLO DEL EXPRESO,18.40698,-66.05942,"Ave. Jesús T. Piñero, Esq. Ave. Américo Miranda, Hato Rey, PR 00927",(787) 749-4900,hospital
San Juan,HOSPITAL UNIVERSITARIO DE ADULTOS,18.396705,-66.07389,"Carr. 21, Bo. Monacillos, Centro Médico, Río Piedras, PR 00922",(787) 754-0101,hospital
San Juan,SAN JORGE CHILDREN'S HOSPITAL,18.447135,-66.06294,"Calle San Jorge #258, Santurce, PR 00912",(787) 727-1000,hospital
Trujillo Alto,HOSPITAL METROPOLITANO DE LA MONTAÑA TRUJILLO ALTO,18.358245,-65.99616,"Ave. Jesús T. Piñeiro #100, Trujillo Alto, PR 00976",(787) 641-8000,hospital
Bayamón,BAYAMON HEALTH CENTER DR. JOSÉ RAMON SELVA,18.39142,-66.15461,"Calle Manuel F. Rossy, Esq. Isabel II, Bayamón, PR 00960",(787) 995-1900,cdt
Bayamón,CDT GRUPO MÉDICO SAN PABLO INC,18.396742,-66.14736,"Calle Santa Cruz B-7, Bayamón, PR 00961",(787) 787-6804 (787) 780-6267,cdt
Bayamón,"METRO PAVÍA CLINIC, BAYAMON",18.396876,-66.14899,"Calle García # 8 y 9, Urb. Santa Cruz, Bayamón, PR 00954",(787) 780-6536,cdt
Bayamón,"CDT BELLA VISTA HEALTH CENTER, BAYAMON",18.353776,-66.18957,"Carr. 167, Marginal Bella Vista, AD #10 Urb. Bella Vista, Bayamón, PR 00955",(787) 637-2295,cdt
Bayamón,CENTRO DE SERVICIOS MÉDICOS INTEGRADOS CDT,18.39781,-66.15012,"Calle Santa Cruz #59, 4to piso, Bayamón, PR 00960",(787) 778-2100,cdt
Canóvanas,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO DE CANÓVANAS,18.37785,-65.89825,"Calle Maria Casado, Canóvanas, PR 00729",(787) 957-1404,cdt
Carolina,METRO PAVÍA CLINIC-CAROLINA,18.3768,-65.9323,"Carr. PR-3, Km. 13.4 int., Carr.857, Bo. Canovanillas, Carolina, PR 00987",(787) 710-9860 Ext. 248,cdt
Carolina,POLICLÍNICA DR. SALVADOR RIBOT RUIZ,18.37399,-65.93275,"Carr. 857, Km. 0.4, Bo. Canovanilla, Carolina PR 00979",(787) 752-9375,cdt
Carolina,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO DOCTORES VILLALOBOS CAROLINA,18.4204,-66.0576,"Carolina Shopping Court, Suite 201, Carr. 3, Km 10.3, Carolina, PR 00985",(787) 767-8758,cdt
Cataño,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO EULALIA KUILAN,18.428,-66.138,"Carr. 5, Km 2.8, Edificio Dr. Job Pandujas, Cataño, PR 00963",(787) 993-6976,cdt
Cataño,SALA DE EMERGENCIA CSF,18.4424,-66.12718,"Ave. Las Nereidas # 126, Cataño, PR 00962",(787) 788-0448,cdt
Comerío,CENTRO DE SALUD FAMILIAR MENONITA DE COMERÍO,18.22307,-66.22329,"Carr. 778, Km 0.9, Sector Pasarel Bo. Vega Redonda, Comerio, PR 00782",(787) 520-7151,cdt
Corozal,CDT PLAZA DEL CARMEN MEDICAL SERVICES,18.341697,-66.31058,"Carr. 891, Km 13, Plaza del Carmen #205, Corozal, PR 00783",(787) 859-1901,cdt
Dorado,DORADO COMMUNITY HEALTH,18.46303,-66.26961,"Calle 698, Bo. Mameyal #400, Dorado, PR 00646",(787) 270-3330,cdt
Dorado,CDT DORADO MEDICAL COMPLEX,18.46074,-66.26633,"Calle Mendez Vigo #349, Dorado, PR 00646",(787) 278-1062,cdt
Guaynabo,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO EN HATO NUEVO GUAYNΝΑΒΟ,18.3137,-66.1025,"Carr. 834, Km. 1.3, Sector Laberinto, Bo. Hato Nuevo, Guaynabo, PR 00969",(787) 287-5680,cdt
Guaynabo,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO GUAYNABO MEDICAL MALL,18.36134,-66.11393,"Ave. Las Cumbres #140, Suite 210, Guaynabo, PR 00969",(787) 789-2101,cdt
San Juan,SAN JUAN HEALTH CENTRE CLINIC,18.450368,-66.065914,"Ave. De Diego #150, Esq. Baldorioty, San Juan, PR 00907",(787) 977-7575,cdt
San Juan,SERVICIOS MÉDICOS UPR RECINTO DE RÍO PIEDRAS,18.405296,-66.047779,"RCM-UPR Centro Médico De Río Piedras, San Juan, PR 00931",(787) 764-0000,cdt
San Juan,CENTRO DE DIAGNÓSTICO Y TRATAMIENTO ASOCIACIÓN DE MAESTROS DE PUERTO RICO,18.41196,-66.06811,"Hospital Del Maestro, 1Er Nivel, Domenech, San Juan, PR 00927",(787) 763-5560,cdt
San Juan,CDT CARIBBEAN MEDICAL TESTING CENTER,18.40678,-66.06533,"Calle Clemson #300, San Juan, PR 00927",(787) 754-6868,cdt
San Juan,CDT PROGRAMA SIDA DE SAN JUAN,18.44773,-66.0742,"Ave. Manuel Fernandez Juncos 1300-1308, San Juan, PR 00909",(787) 480-3067,cdt
San Juan,CENTRO DE PLANIFICACIÓN FAMILIAR CELESTE ZALDUONDO,18.41977,-66.05831,"Urb. El Vedado, Calle Padre Las Casa #117, San Juan, PR 00918",(787) 765-7373,cdt
San Juan,CENTRO LATINOAMERICANO DE ENFERMEDADES DE TRANSMISIÓN SEXUAL (CLETS),18.39347,-66.07379,"Calle Teniente César L. González, San Juan, PR 00927",(787) 754-8118,cdt
San Juan,CLÍNICAS EXTERNAS ADMINISTRACIÓN DE SERVICIOS MÉDICOS,18.39538,-66.07422,"Edif. Central, Centro Médico, Ave. Américo Miranda S/N, San Juan, PR 00935",(787) 754-8072,cdt
Toa Alta,CDT TOA ALTA CURA,18.38943,-66.24811,"Calle Barceló #16, Toa Alta, PR 00953",787-230-7190,cdt
Toa Alta,CDT DE TOA ALTA BO PINAS,18.36785,-66.2168,"Carr. 861, Int. 829, Km 6.1, Bo. Pina, Toa Alta, PR 00953",(787) 279-1278,cdt
Toa Baja,TOA BAJA HEALTH CENTER,18.43874,-66.19517,"P.O. Box 2359, Toa Baja, PR 00951",(787) 875-3136,cdt
Toa Baja,"METRO PAVÍA CLINIC, TOA BAJA",18.438953,-66.1953,"Ave. Saban Seca, Int. 867 Km 2.2, Toa Baja, PR 00951",(787) 784-1782,cdt
Vega Alta,VEGA ALTA COMMUNITY HEALTH,18.42072,-66.33614,"Carr. 2, Km 31.9, Vega Alta, PR 00692",(787) 875-3136,cdt
Comerío,CENTRO DE SALUD FAMILIAR MENONITA DE COMERÍO,18.22307,-66.22329,"Carr. 778, Km 0.9, Sector Pasarel Bo. Vega Redonda, Comerio, PR 00782",(787) 520-7151,cdt
Corozal,CDT PLAZA DEL CARMEN MEDICAL SERVICES,18.341697,-66.31058,"Carr. 891, Km 13, Plaza del Carmen #205, Corozal, PR 00783",(787) 859-1901,cdt
